Time frequency,Nationality of registration of vessel,Direction of flow,Unit of measure,Maritime entity (partner),Maritime entity (reporting)\Time,Janvier-Mars 2003,Avril-Juin 2003,Jullet-Septembre 2003,Octobre-Décembre 2003,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024
Quarterly,Total,Inwards,Thousand,Total,Cirkewwa,303.0,454.0,585.0,352.0,329.0,461.0,600.0,361.0,314.0,447.0,612.0,363.0,311.0,478.0,616.0,391.0,361.0,503.0,667.0,403.0,412.0,528.0,671.0,409.0,365.0,512.0,635.0,420.0,374.0,521.0,659.0,437.0,393.0,534.0,658.0,436.0,378.0,525.0,657.0,461.0,400.0,561.0,690.0,520.0,441.0,591.0,737.0,530.0,419.0,626.0,751.0,558.0,500.0,653.0,815.0,581.0,518.0,705.0,833.0,627.0,559.0,763.0,891.0,660.0,575.0,781.0,920.0,675.0,516.0,289.0,647.0,441.0,358.0,454.0,701.0,526.0,483.0,672.0,788.0,649.0,589.0,756.0,841.0,701.0,645.0,766.0
Quarterly,Total,Inwards,Thousand,Total,"Mgarr, Gozo",303.0,454.0,585.0,352.0,327.0,466.0,607.0,361.0,312.0,453.0,607.0,355.0,307.0,469.0,601.0,382.0,351.0,489.0,638.0,383.0,389.0,508.0,632.0,394.0,346.0,496.0,612.0,406.0,361.0,535.0,693.0,452.0,404.0,562.0,686.0,451.0,396.0,555.0,681.0,440.0,415.0,590.0,718.0,502.0,455.0,616.0,763.0,511.0,423.0,642.0,774.0,546.0,510.0,667.0,829.0,579.0,523.0,710.0,841.0,626.0,562.0,773.0,889.0,661.0,571.0,794.0,920.0,680.0,522.0,292.0,632.0,435.0,353.0,475.0,800.0,597.0,511.0,743.0,896.0,703.0,633.0,870.0,994.0,819.0,722.0,889.0
Quarterly,Total,Inwards,Thousand,Total,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21.0,105.0,63.0,35.0,64.0,106.0,45.0,40.0,99.0,143.0,93.0,83.0,135.0
Quarterly,Total,Outwards,Thousand,Malta,Malta,605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,815.0,1151.0,1408.0,1022.0,896.0,1207.0,1500.0,1040.0,842.0,1269.0,1525.0,1104.0,1010.0,1320.0,1644.0,1159.0,1040.0,1415.0,1675.0,1254.0,1121.0,1535.0,1780.0,1321.0,1146.0,1575.0,1841.0,1355.0,1038.0,581.0,1278.0,876.0,711.0,950.0,1606.0,1186.0,1029.0,1479.0,1790.0,1397.0,1262.0,1725.0,1978.0,1613.0,1450.0,1790.0
Quarterly,Total,Outwards,Thousand,Malta,Cirkewwa,303.0,454.0,585.0,352.0,327.0,466.0,607.0,361.0,312.0,453.0,607.0,355.0,307.0,469.0,601.0,382.0,351.0,489.0,638.0,383.0,389.0,508.0,632.0,394.0,346.0,496.0,612.0,406.0,361.0,535.0,693.0,452.0,404.0,562.0,686.0,451.0,396.0,555.0,681.0,440.0,415.0,590.0,718.0,502.0,455.0,616.0,763.0,511.0,423.0,642.0,774.0,546.0,510.0,667.0,829.0,579.0,523.0,710.0,841.0,626.0,562.0,773.0,889.0,661.0,571.0,794.0,920.0,680.0,522.0,292.0,632.0,435.0,353.0,454.0,701.0,540.0,479.0,681.0,803.0,665.0,600.0,786.0,871.0,740.0,649.0,771.0
Quarterly,Total,Outwards,Thousand,Malta,"Mgarr, Gozo",303.0,454.0,585.0,352.0,329.0,461.0,600.0,361.0,314.0,447.0,612.0,363.0,311.0,478.0,616.0,391.0,361.0,503.0,667.0,403.0,412.0,528.0,671.0,409.0,365.0,512.0,635.0,420.0,374.0,521.0,659.0,437.0,393.0,534.0,658.0,436.0,378.0,525.0,657.0,461.0,400.0,561.0,690.0,520.0,441.0,591.0,737.0,530.0,419.0,626.0,751.0,558.0,500.0,653.0,815.0,581.0,518.0,705.0,833.0,627.0,559.0,763.0,891.0,660.0,575.0,781.0,920.0,675.0,516.0,289.0,647.0,441.0,358.0,475.0,805.0,589.0,518.0,736.0,894.0,694.0,629.0,855.0,984.0,794.0,728.0,901.0
Quarterly,Total,Outwards,Thousand,Malta,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21.0,99.0,56.0,32.0,62.0,93.0,39.0,33.0,84.0,123.0,79.0,73.0,118.0
Quarterly,Total,Outwards,Thousand,Total,Malta,605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,815.0,1151.0,1408.0,1022.0,896.0,1207.0,1500.0,1040.0,842.0,1269.0,1525.0,1104.0,1010.0,1320.0,1644.0,1159.0,1040.0,1415.0,1675.0,1254.0,1121.0,1535.0,1780.0,1321.0,1146.0,1575.0,1841.0,1355.0,1038.0,581.0,1278.0,876.0,711.0,950.0,1606.0,1186.0,1029.0,1479.0,1790.0,1397.0,1262.0,1725.0,1978.0,1613.0,1450.0,1790.0
Quarterly,Total,Outwards,Thousand,Total,Cirkewwa,303.0,454.0,585.0,352.0,327.0,466.0,607.0,361.0,312.0,453.0,607.0,355.0,307.0,469.0,601.0,382.0,351.0,489.0,638.0,383.0,389.0,508.0,632.0,394.0,346.0,496.0,612.0,406.0,361.0,535.0,693.0,452.0,404.0,562.0,686.0,451.0,396.0,555.0,681.0,440.0,415.0,590.0,718.0,502.0,455.0,616.0,763.0,511.0,423.0,642.0,774.0,546.0,510.0,667.0,829.0,579.0,523.0,710.0,841.0,626.0,562.0,773.0,889.0,661.0,571.0,794.0,920.0,680.0,522.0,292.0,632.0,435.0,353.0,454.0,701.0,540.0,479.0,681.0,803.0,665.0,600.0,786.0,871.0,740.0,649.0,771.0
Quarterly,Total,Outwards,Thousand,Total,"Mgarr, Gozo",303.0,454.0,585.0,352.0,329.0,461.0,600.0,361.0,314.0,447.0,612.0,363.0,311.0,478.0,616.0,391.0,361.0,503.0,667.0,403.0,412.0,528.0,671.0,409.0,365.0,512.0,635.0,420.0,374.0,521.0,659.0,437.0,393.0,534.0,658.0,436.0,378.0,525.0,657.0,461.0,400.0,561.0,690.0,520.0,441.0,591.0,737.0,530.0,419.0,626.0,751.0,558.0,500.0,653.0,815.0,581.0,518.0,705.0,833.0,627.0,559.0,763.0,891.0,660.0,575.0,781.0,920.0,675.0,516.0,289.0,647.0,441.0,358.0,475.0,805.0,589.0,518.0,736.0,894.0,694.0,629.0,855.0,984.0,794.0,728.0,901.0
Quarterly,Total,Outwards,Thousand,Total,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21.0,99.0,56.0,32.0,62.0,93.0,39.0,33.0,84.0,123.0,79.0,73.0,118.0
Quarterly,Total,Total,Thousand,Malta,Malta,605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,883.0,1288.0,1548.0,1130.0,982.0,1355.0,1670.0,1173.0,924.0,1502.0,1825.0,1332.0,1197.0,1623.0,1988.0,1414.0,1246.0,1813.0,2088.0,1605.0,1427.0,1984.0,2201.0,1653.0,1376.0,2036.0,2286.0,1704.0,1255.0,598.0,1378.0,949.0,750.0,1021.0,1854.0,1398.0,1163.0,1782.0,2131.0,1730.0,1484.0,2094.0,2329.0,1928.0,1779.0,2267.0
Quarterly,Total,Total,Thousand,Malta,Cirkewwa,605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,815.0,1151.0,1408.0,1022.0,896.0,1207.0,1500.0,1040.0,842.0,1269.0,1525.0,1104.0,1010.0,1320.0,1644.0,1159.0,1040.0,1415.0,1675.0,1254.0,1121.0,1535.0,1780.0,1321.0,1146.0,1575.0,1841.0,1355.0,1038.0,581.0,1278.0,876.0,711.0,907.0,1402.0,1067.0,962.0,1352.0,1590.0,1314.0,1189.0,1542.0,1712.0,1441.0,1294.0,1537.0
Quarterly,Total,Total,Thousand,Malta,"Mgarr, Gozo",605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,815.0,1151.0,1408.0,1022.0,896.0,1207.0,1500.0,1040.0,842.0,1269.0,1525.0,1104.0,1010.0,1320.0,1644.0,1159.0,1040.0,1415.0,1675.0,1254.0,1121.0,1535.0,1780.0,1321.0,1146.0,1575.0,1841.0,1355.0,1038.0,581.0,1278.0,876.0,711.0,950.0,1606.0,1186.0,1029.0,1479.0,1790.0,1397.0,1262.0,1725.0,1978.0,1613.0,1450.0,1790.0
Quarterly,Total,Total,Thousand,Malta,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.0,137.0,141.0,109.0,86.0,148.0,170.0,133.0,82.0,233.0,300.0,228.0,186.0,303.0,344.0,254.0,206.0,397.0,414.0,351.0,306.0,449.0,421.0,332.0,230.0,461.0,445.0,348.0,216.0,17.0,100.0,73.0,40.0,113.0,452.0,331.0,201.0,429.0,540.0,416.0,295.0,552.0,618.0,487.0,485.0,730.0
Quarterly,Total,Total,Thousand,Total,Malta,605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,883.0,1288.0,1548.0,1130.0,982.0,1355.0,1670.0,1173.0,924.0,1502.0,1825.0,1332.0,1197.0,1623.0,1988.0,1414.0,1246.0,1813.0,2088.0,1605.0,1427.0,1984.0,2201.0,1653.0,1376.0,2036.0,2286.0,1704.0,1255.0,598.0,1378.0,949.0,750.0,1021.0,1854.0,1398.0,1163.0,1782.0,2131.0,1730.0,1484.0,2094.0,2329.0,1928.0,1779.0,2267.0
Quarterly,Total,Total,Thousand,Total,Cirkewwa,605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,815.0,1151.0,1408.0,1022.0,896.0,1207.0,1500.0,1040.0,842.0,1269.0,1525.0,1104.0,1010.0,1320.0,1644.0,1159.0,1040.0,1415.0,1675.0,1254.0,1121.0,1535.0,1780.0,1321.0,1146.0,1575.0,1841.0,1355.0,1038.0,581.0,1278.0,876.0,711.0,907.0,1402.0,1067.0,962.0,1352.0,1590.0,1314.0,1189.0,1542.0,1712.0,1441.0,1294.0,1537.0
Quarterly,Total,Total,Thousand,Total,"Mgarr, Gozo",605.0,908.0,1170.0,705.0,656.0,928.0,1207.0,721.0,626.0,900.0,1219.0,718.0,619.0,947.0,1216.0,772.0,712.0,992.0,1306.0,786.0,800.0,1036.0,1302.0,803.0,711.0,1008.0,1247.0,826.0,735.0,1056.0,1351.0,889.0,797.0,1097.0,1344.0,887.0,774.0,1079.0,1338.0,901.0,815.0,1151.0,1408.0,1022.0,896.0,1207.0,1500.0,1040.0,842.0,1269.0,1525.0,1104.0,1010.0,1320.0,1644.0,1159.0,1040.0,1415.0,1675.0,1254.0,1121.0,1535.0,1780.0,1321.0,1146.0,1575.0,1841.0,1355.0,1038.0,581.0,1278.0,876.0,711.0,950.0,1606.0,1186.0,1029.0,1479.0,1790.0,1397.0,1262.0,1725.0,1978.0,1613.0,1450.0,1790.0
Quarterly,Total,Total,Thousand,Total,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.0,137.0,141.0,109.0,86.0,148.0,170.0,133.0,82.0,233.0,300.0,228.0,186.0,303.0,344.0,254.0,206.0,397.0,414.0,351.0,306.0,449.0,421.0,332.0,230.0,461.0,445.0,348.0,216.0,17.0,100.0,73.0,40.0,113.0,452.0,331.0,201.0,429.0,540.0,416.0,295.0,552.0,618.0,487.0,485.0,730.0
Quarterly,Total,Unknown,Thousand,Malta,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.0,137.0,141.0,109.0,86.0,148.0,170.0,133.0,82.0,233.0,300.0,228.0,186.0,303.0,344.0,254.0,206.0,397.0,414.0,351.0,306.0,449.0,421.0,332.0,230.0,461.0,445.0,348.0,216.0,17.0,100.0,73.0,40.0,71.0,248.0,213.0,134.0,303.0,341.0,333.0,222.0,369.0,352.0,315.0,329.0,477.0
Quarterly,Total,Unknown,Thousand,Malta,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.0,137.0,141.0,109.0,86.0,148.0,170.0,133.0,82.0,233.0,300.0,228.0,186.0,303.0,344.0,254.0,206.0,397.0,414.0,351.0,306.0,449.0,421.0,332.0,230.0,461.0,445.0,348.0,216.0,17.0,100.0,73.0,40.0,71.0,248.0,213.0,134.0,303.0,341.0,333.0,222.0,369.0,352.0,315.0,329.0,477.0
Quarterly,Total,Unknown,Thousand,Total,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.0,137.0,141.0,109.0,86.0,148.0,170.0,133.0,82.0,233.0,300.0,228.0,186.0,303.0,344.0,254.0,206.0,397.0,414.0,351.0,306.0,449.0,421.0,332.0,230.0,461.0,445.0,348.0,216.0,17.0,100.0,73.0,40.0,71.0,248.0,213.0,134.0,303.0,341.0,333.0,222.0,369.0,352.0,315.0,329.0,477.0
Quarterly,Total,Unknown,Thousand,Total,Valletta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.0,137.0,141.0,109.0,86.0,148.0,170.0,133.0,82.0,233.0,300.0,228.0,186.0,303.0,344.0,254.0,206.0,397.0,414.0,351.0,306.0,449.0,421.0,332.0,230.0,461.0,445.0,348.0,216.0,17.0,100.0,73.0,40.0,71.0,248.0,213.0,134.0,303.0,341.0,333.0,222.0,369.0,352.0,315.0,329.0,477.0
